Marca temporal,Edad (años),Peso (Kg),Estatura (metros),Horas de actividad física por semana,Horas de sueño por día,Horas por día sentado,Idas al baño (por día),Comidas por día,Cantidad de agua bebida por día (litros),Consumo de alcohol por semana (litros),cantidad de tabaco por semana (no. de cajetillas),"Consumo de bebidas azucaradas por día en litros (refrescos, jugos, etc)",Consumes comida chatarra de forma cotidiana ,Padeces alguna enfermedad que te impida hacer ejercicio?,Consideras tener buena Salud Física
2021/03/22 11:35:08 a. m. GMT-6,18,70,1.82,12,7.5,4,3,5,2 litros,0,0,0,No,No,Sí
2021/03/22 11:35:30 a. m. GMT-6,18,75,1.8,21,6,8,3,3,1.5,0.2,0,0.5,Sí,No,No
2021/03/22 11:35:42 a. m. GMT-6,18,58,1.62,2,8,9,2,3,2,1,0,0,No,No,No
2021/03/22 11:35:52 a. m. GMT-6,18,78,1.78,20,6,6,15,5,2,0,0,0,No,No,Sí
2021/03/22 11:36:13 a. m. GMT-6,19,48,1.56,2,7,6,4,2,6,2,5,1,No,No,No
2021/03/22 11:36:15 a. m. GMT-6,18,56,1.58,7,9,3,4,3,2,0,0,1,No,No,Sí
2021/03/22 11:36:18 a. m. GMT-6,21,59,1.5,2,5,8,3,2,3,0,0,1,No,No,No
2021/03/22 11:36:23 a. m. GMT-6,18,58,1.64,90,10,7,5,2,2,2,0,1,No,No,No
2021/03/22 11:36:30 a. m. GMT-6,20,66,1.78,6,7,6,4,5,2,0,0,0,Sí,No,Sí
2021/03/22 11:36:33 a. m. GMT-6,18,80,1:85,5,9,3,2,3,3,Ninguno,Ninguno,3 litros,Sí,No,No
2021/03/22 11:36:34 a. m. GMT-6,18,1.65,1.59,5,6,10,4,4,2,0,0,0,No,Sí,No
2021/03/22 11:36:36 a. m. GMT-6,18,58,1.6,10,7,10,4,3,1.5,0.5,0,0,No,No,Sí
2021/03/22 11:36:36 a. m. GMT-6,18,62,1.55,1,7,9,5,3,2,0,0,0,No,No,Sí
2021/03/22 11:36:42 a. m. GMT-6,19,65,1.68,10,6,10,2,4,2.5,0.5,0,0,No,No,Sí
2021/03/22 11:36:52 a. m. GMT-6,19,60,1.65,1.5,8,4,1,5,2 L,0,0,0.5,Sí,No,Sí
2021/03/22 11:37:05 a. m. GMT-6,18,60,1.65,6,6,8,2,2,3,0,0,1,Sí,No,No
2021/03/22 11:37:15 a. m. GMT-6,18,73,1.83,0,9,15,8,5,2,0,0,0,No,No,Sí
2021/03/22 11:37:26 a. m. GMT-6,17,62,1.72,10,7,9,7,5,2.5,0,0,0,Sí,No,Sí
2021/03/22 11:37:44 a. m. GMT-6,20,91,1.65,6,7.5,3,3,4,1.5,0.5,0,2,Sí,No,Sí
2021/03/22 11:37:53 a. m. GMT-6,18,85,1.7,7,8,8,1,3,1.5,0,1,0,No,No,Sí
2021/03/22 11:38:07 a. m. GMT-6,19,85,1.6,5,8,2,3,3,1,0,0,1,Sí,No,No
2021/03/22 11:38:21 a. m. GMT-6,19,61,1.73,5,7,6,3,5,3,1,0,1,No,No,Sí
2021/03/22 11:38:24 a. m. GMT-6,18,40,1.64,4,6,5,3,2,2,1,1,0,No,No,No
2021/03/22 11:38:30 a. m. GMT-6,19,45,1.6,5,6,8,2,2,1,0,0,1,No,No,No
2021/03/22 11:38:36 a. m. GMT-6,19,65,1.7,6,9,6,2,3,2,0,2,6,No,No,Sí
2021/03/22 11:38:49 a. m. GMT-6,18,58,1.6,4 hrs,8 hrs,6 hrs,2,3,2 L,0,0,1,Sí,No,No
2021/03/22 11:38:55 a. m. GMT-6,18,60,171,6,4,6,3,2,3,1,0,4,No,No,Sí
2021/03/22 11:39:03 a. m. GMT-6,18,89,1.81,4,5,4,2,3,1,0,0,0.5,No,No,No
2021/03/22 11:39:08 a. m. GMT-6,22,76,1.74,0,6,4,2,3,2 litros,0.8,0,1 L,Sí,No,No
2021/03/22 11:39:18 a. m. GMT-6,18,66,1.66,19,6,8,5,3,2,0,0,0,No,No,Sí
2021/03/22 11:39:27 a. m. GMT-6,18,50,1.68,4,9,4,3,3,2,1,0,0,No,No,Sí
2021/03/22 11:39:40 a. m. GMT-6,17,73,1.72,0,6,11,1,3,5,0,0,1,No,Sí,Sí
2021/03/22 11:39:48 a. m. GMT-6,26,77,1.77,4,9,5,5,3,1.5,0.5,0,0.5,No,No,Sí
2021/03/22 11:40:08 a. m. GMT-6,18,64,1.72,7,6,6,4,3,1,0,0,.,No,No,Sí
2021/03/22 11:41:18 a. m. GMT-6,18,45,1.56,1,6,10,2,3,1,0.5,0,0.5,Sí,No,No
2021/03/22 11:41:23 a. m. GMT-6,17,64,65,5,8,3,5,5,3 litros ,0,0,0,No,No,Sí
2021/03/22 11:42:05 a. m. GMT-6,17,69,1.8,6,7,2,4,3,6,0,0,1,No,No,Sí
2021/03/22 11:44:04 a. m. GMT-6,23,67,1.63,10,7,3,1,3,4,0,0,2,Sí,No,No
2021/03/22 11:45:01 a. m. GMT-6,18,60,1.65,4,7,6,2,4,3,2,0,0,Sí,No,
2021/03/22 11:46:45 a. m. GMT-6,18,75,"1,63",1,6,8,5,3,2 litros,0,0,0.25 litros,Sí,No,No
2021/03/22 11:47:13 a. m. GMT-6,17 años ,64,1.71,9,7.5,3,3,5,2,0,0,0.5,No,No,Sí
2021/03/22 11:47:46 a. m. GMT-6,17,87,1.87,14,7,2,5,3,4,2,0,3,No,No,Sí
2021/03/22 11:48:02 a. m. GMT-6,18,57,1.78,2,6,8,4,3,1,1,0,3,Sí,No,No
2021/03/22 11:48:26 a. m. GMT-6,38,60,1.61,5,8,6,5,3,1.5,0,0,0.5,No,No,Sí
2021/03/22 11:48:52 a. m. GMT-6,18,50,1.5,1,8,7,5,2,2,0,0,0.5,Sí,No,No
2021/03/22 11:49:14 a. m. GMT-6,11 años,34 kg,1.45,3 horas,8 horas,5 horas,5,5,1,0,0,0.5,Sí,No,No
2021/03/22 11:49:40 a. m. GMT-6,19,93,1.83,7,7,6,1,2,3,0,0,0,No,No,Sí
2021/03/22 11:50:00 a. m. GMT-6,18,49,1.65,12,8,8,2,6,2,0,0,0,No,No,Sí
2021/03/22 11:50:07 a. m. GMT-6,18,60,1.6,5,7,7,3,3,1.5,0,0,1,No,No,Sí
2021/03/22 11:50:21 a. m. GMT-6,18,55,1.59,0,6,12,2,3,2,0.5,0,1,Sí,No,No
2021/03/22 11:50:40 a. m. GMT-6,22,72,1.7,2,5,3,5,5,2 L,0.5,Ninguno ,Ninguno,No,No,Sí
2021/03/22 11:50:45 a. m. GMT-6,18,61,1.77,0,8,12,3,4,1,1,3,2,Sí,No,No
2021/03/22 11:52:22 a. m. GMT-6,10,46,1.45,3,7,4,6,4,3,0,0,2,No,No,Sí
2021/03/22 11:52:48 a. m. GMT-6,18,80,1.75,8,35,90,2,4,4,0,0,4,No,No,Sí
2021/03/22 11:54:05 a. m. GMT-6,18,57,1.6,1,7.5,6 hrs,2,3,2,0,0,1,No,No,Sí
2021/03/22 11:54:48 a. m. GMT-6,18,49,1.5,2,6,10,3,5,2,6,0,1,Sí,No,No
2021/03/22 11:54:50 a. m. GMT-6,18,58,1.74,1 hora,6.5,4,3,3,2 litros,0,0,1 L,Sí,No,Sí
2021/03/22 11:55:40 a. m. GMT-6,21,86,1.74,12,5,4,2,3,3,4,0,0,No,No,Sí
2021/03/22 11:56:16 a. m. GMT-6,19,67,1.72,7,1,3,4,3,1,2,0,2,Sí,No,No
2021/03/22 11:56:55 a. m. GMT-6,18,43,1.52,2,8,7,2,3,2,2,0,0,No,No,Sí
2021/03/22 11:57:20 a. m. GMT-6,20,80,1.64,10,5,3,8,5,3 litros ,2,0,0.5,Sí,No,No
2021/03/22 11:57:50 a. m. GMT-6,28,115,168,0,6,5,2,3,1.5,0.5,0,.5,No,No,Sí
2021/03/22 11:57:59 a. m. GMT-6,19,88,1.8,6.5 horas,8 horas,4,3,3,1 litro ,3 litros ,0,0.5,Sí,No,No
2021/03/22 11:57:59 a. m. GMT-6,19,65,1.54,5,6,8,3,2,1,0,0,2,No,No,No
2021/03/22 11:58:57 a. m. GMT-6,21,48,1.52 metros ,5,9,5,2,3,1 litro,0,0,1 litro,No,No,Sí
2021/03/22 11:58:58 a. m. GMT-6,15,66,1.7,5,1,6,3,3,4,0,0,0.5,No,No,Sí
2021/03/22 11:59:28 a. m. GMT-6,17,81,1.76,6,7,5,5,3,3 L,1 L,0,0.5 L,No,No,Sí
2021/03/22 12:00:00 p. m. GMT-6,14,55 kg,"1,69",8,9,8,5,4,2,0,0,0,Sí,No,Sí
2021/03/22 12:00:19 p. m. GMT-6,18,78,1.81,7,7,10,3,3,2,0,0,0,No,No,Sí
2021/03/22 12:01:14 p. m. GMT-6,18,49,1.6,2,5,6,,3,2.4,0,0,0.8,No,No,Sí
